Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_Pct,Automation_Risk_Pct,Location,Gender_Diversity_Pct
"Therapist, drama",Entertainment,Decreasing,Low,62045.98,Master’s Degree,6,7660,6599,66.74,79.36,USA,50.76
Health physicist,Finance,Increasing,Moderate,54454.33,PhD,3,9598,9296,93.37,20.84,Brazil,28.25
"Scientist, research (maths)",Entertainment,Decreasing,Moderate,116632.31,Associate Degree,17,2518,7884,52.16,28.39,Germany,27.42
Geographical information systems officer,Entertainment,Decreasing,Low,94156.09,Master’s Degree,19,1453,1563,57.43,28.64,India,51.47
Records manager,Manufacturing,Decreasing,High,89709.95,PhD,7,1280,971,70.96,67.02,India,44.16
Retail buyer,Entertainment,Decreasing,Moderate,141970.94,High School,8,5338,5036,48.15,0.7,Brazil,65.84
Medical secretary,Healthcare,Decreasing,Moderate,95022.62,Associate Degree,19,8963,5304,9.13,46.19,China,71.24
Plant breeder/geneticist,Entertainment,Increasing,Moderate,112730.19,PhD,11,6783,3110,99.69,7.34,Australia,24.51
Risk manager,Healthcare,Increasing,Moderate,49200.25,Associate Degree,15,1305,264,86.36,85.71,USA,59.85
Sports administrator,IT,Increasing,Moderate,106770.39,Master’s Degree,5,4212,5360,58.5,69.1,Canada,75.8
Financial adviser,Education,Decreasing,Moderate,87067.53,Associate Degree,13,7089,8429,19.35,94.72,Australia,57.62
Chiropractor,Manufacturing,Increasing,Moderate,105050.53,Associate Degree,20,5676,3455,98.79,24.17,India,28.32
Advice worker,Entertainment,Increasing,Moderate,116761.96,Associate Degree,13,5827,7483,41.57,12.85,Canada,53.25
Oceanographer,IT,Increasing,High,38238.54,PhD,7,6906,4694,28.12,65.49,India,49.29
"Scientist, water quality",Healthcare,Decreasing,Low,144165.57,Master’s Degree,5,7907,7837,58.45,14.3,Brazil,48.48
Herpetologist,Manufacturing,Decreasing,High,143790.69,Master’s Degree,13,6363,282,89.57,95.18,UK,72.54
"Designer, interior/spatial",Education,Decreasing,High,67932.74,High School,8,5576,5892,1.06,20.67,India,37.32
"Teacher, special educational needs",Education,Decreasing,High,140727.56,High School,11,8919,373,57.98,19.54,India,20.06
Occupational hygienist,Finance,Decreasing,Low,100600.3,PhD,11,5785,5497,38.46,36.89,USA,58.17
"Administrator, sports",Retail,Decreasing,Low,58368.73,Master’s Degree,20,8316,7145,73.15,67.72,Australia,73.95
Research scientist (maths),Healthcare,Increasing,High,83332.5,Bachelor’s Degree,18,9459,6026,57.39,17.79,Brazil,25.92
"Administrator, sports",Finance,Increasing,Moderate,131526.78,Bachelor’s Degree,19,9740,790,12.09,98.08,USA,28.49
"Solicitor, Scotland",Transportation,Increasing,Low,131924.14,High School,20,5385,393,30.68,11.73,USA,27.12
Counselling psychologist,Finance,Increasing,High,137343.8,PhD,6,6754,2970,43.74,27.38,Brazil,70.61
Adult nurse,Finance,Increasing,Moderate,124740.99,Master’s Degree,6,6792,8773,20.44,96.94,UK,70.97
Podiatrist,Finance,Increasing,High,38919.1,PhD,11,5290,4674,16.48,4.83,Canada,46.42
Government social research officer,Retail,Decreasing,High,116888.71,Associate Degree,2,9416,8415,75.97,88.32,India,40.22
